BB,ID,Original Date,Start Date,End Date,Title,Description,References,Flag,Notes
4,1,1/20/2001,1/20/2001,1/20/2001,George W. Bush is inaugurated the 43rd president of the United States,"George W. Bush is inaugurated the 43rd president of the United States. Colin Powell, secretary of state-designate, declares that the incoming administration is prepared to encourage dialogue and possibly augment commercial ties. ",,,
4,2,June 2001,6/1/2001,6/30/2001,Bush administration policy review on Iran fails to materialize,A promised Bush administration policy review on Iran fails to materialize.,,,
4,3,6/8/2001,6/8/2001,6/8/2001,President Mohammad Khatami wins a major re-election victory,"President Mohammad Khatami wins a major re-election victory as voters turn out in huge numbers, but power nevertheless begins to shift to hardliners. ",,,
4,4,6/21/2001,6/21/2001,6/21/2001,46-count indictment for the Khobar Towers attack ,"A federal grand jury in Alexandria, Virginia, hands up a 46-count indictment for the 1996 Khobar Towers attack. ",,,
4,5,9/11/2001,9/11/2001,9/11/2001,Terrorist attacks level the World Trade Center and strike the Pentagon ,"Terrorist attacks level the World Trade Center and strike the Pentagon, as a fourth plane is forced down over Pennsylvania. Later, the U.S. sends a message through the Swiss thanking Iranian leaders for their supportive remarks and asking for their help, in particular information about Osama bin Laden and the Taliban. ",,,
4,6,9/26/2001,9/26/2001,9/26/2001,Khamenei says Iran will not join the U.S. in a coalition to fight terrorism,"Ayatollah Khamenei says Iran will not join the U.S. in a coalition to fight terrorism. Two days later, however, Akbar Hashemi Rafsanjani declares: ""[D]espite all our differences, we are willing to join the U.S.-led coalition, under the umbrella of the United Nations, if America does not impose its own view."" ",,,
4,7,Fall 2001,9/22/2001,12/21/2001,Meetings between senior U.S. diplomats and Iranians,"Numerous meetings between senior U.S. diplomats and Iranians take place during this period. ""We have contacts with the Iranians at an interesting level,"" Secretary of State Colin Powell says in late October. ",,,
4,8,11/13/2001,11/13/2001,11/13/2001,Kabul falls to Northern Alliance forces,Kabul falls to Northern Alliance forces.,,,
4,9,"December 5-6, 2001",12/5/2001,12/6/2001,Agreement establishes the Transitional Islamic Republic of Afghanistan,"The Bonn conference results in an agreement establishing the Transitional Islamic Republic of Afghanistan. U.S. representative James Dobbins later writes that all delegations were helpful, but ""[n]one more so than the Iranians."" ",,,
4,10,January 2002,1/1/2002,1/31/2002,Hadley tasks the CIA to study the stability of Iranian government,"Deputy National Security Advisor Stephen Hadley tasks the CIA to study the stability of the Iranian government, but the document is never finalized because of administration differences of view. I Based on documents, memoirs, scholarly monographs and press accounts. ",,,
4,11,1/3/2002,1/3/2002,1/3/2002,Israeli forces intercept the vessel Karine A ,"Israeli forces intercept the vessel Karine A in the Red Sea and seize its cargo of weapons. Powell comments: ""It's a pretty big smoking gun"" pointing at Iran. ",,,
4,12,1/10/2002,1/10/2002,1/10/2002,Bush sharply warns Iran against interfering in Afghanistan,"Bush sharply warns Iran against interfering in western Afghanistan, implying that military action might be considered if the country is destabilized. ",,,
4,13,1/21/2002,1/21/2002,1/21/2002,Iran pledges $560 million to help Afghan reconstruction,"On the first day of a donors' conference in Tokyo, Iran pledges $560 million to help Afghan reconstruction, almost half of the $1.3 billion committed by the major Western donors plus Japan. ",,,
4,14,1/29/2002,1/29/2002,1/29/2002,"Bush declares that Iran is part of an ""axis of evil""","In his State of the Union address, Bush declares that Iran is part of an ""axis of evil, arming to threaten the peace of the world."" Officials later claim that Iran was included as a ""prop"" to help produce a ""great line."" ",,,
4,15,2/3/2002,2/3/2002,2/3/2002,ABC Television interview with Rumsfeld,"Defense Secretary Donald Rumsfeld tells ABC Television:""There isn't any doubt in my mind but that the porous border between Iran and Afghanistan has been used for al-Qaeda and Taliban to move into Iran and find refuge."" Expediency Council Secretary Mohsen Reza'i denies the allegation the next day. ",,,
4,16,2/12/2002,2/12/2002,2/12/2002,"Powell tells Congress the U.S. has ""no plan to start a war"" with Iran","Powell tells Congress the U.S. has ""no plan to start a war"" or begin a ""conflict"" with Iran. Iraq is the administration's first priority. ",,,
4,17,2/24/2002,2/24/2002,2/24/2002,Hamid Karzai visits Iran and asks for help on behalf of Afghanistan,Hamid Karzai visits Iran where he calls on Tehran and Washington to set aside their quarrels and collaborate to help Afghanistan.,,,
4,18,June 2002,6/1/2002,6/30/2002,Iran hands over 16 captured al-Qaeda fighters to the Saudis,Iran hands over 16 captured al-Qaeda fighters to the Saudis. The act is not confirmed until August.,,,
4,19,6/1/2002,6/1/2002,6/1/2002,"""Tense stand-off"" in Herat","Iranian diplomats and U.S. military and CIA forces are described as being in a ""tense stand-off"" in Herat. ",,,
4,20,7/12/2002,7/12/2002,7/12/2002,Bush administration articulates a new policy stance on Iran,"The Bush administration finally articulates a new policy stance on Iran. Determining that Iran's official reformers are ""too weak,"" the U.S. from now on will ""associate [itself] with the aspirations of the Iranian people."" ",,,
4,21,8/14/2002,8/14/2002,8/14/2002,Announcement that Iran has two hidden nuclear plants,"The National Council of Resistance of Iran of the MKO announces that Iran has two hidden nuclear plants, one at Natanz for enriching uranium, the other at Arak for extracting plutonium. ",,,
4,22,Late September 2002,9/21/2002,9/30/2002,IRNA publishes a poll about the public's attitudes towards the U.S.,"The Iranian news agency, IRNA, publishes a poll indicating that 64.5 percent of Iranians favor renewed ties with the u.s. while 74.7 percent want a dialogue. Just over 45 percent think Washington's policies towards Iran are correct. ",,,
4,23,10/24/2002,10/24/2002,10/24/2002,Iran softens stance on war with Iraq ,"Iran appears to soften its stance on war with Iraq. Foreign Minister Kamal Kharrazi states: ""We do not support military action but if the United Nations Security council decides to use force against Iraq, that is something else."" ",,,
4,24,12/25/2002,12/25/2002,12/25/2002,Iran and Russia sign a deal on Bushehr reactor,Iran and Russia sign a deal to accelerate completion of the Bushehr reactor.,,,
4,25,January 2003,1/1/2003,1/30/2003,Khalilzad and Crocker discuss prospects for cooperation ,Zalmay Khalilzad and Ryan Crocker meet in secret with Iranian officials to discuss prospects for cooperation including on Iraq.,,,
4,26,2/9/2003,2/9/2003,2/9/2003,Iran discovers deposits of uranium,Khatami announces that Iran has discovered deposits of uranium and has extracted material for use in energy production.,,,
4,27,"February 21-22, 2003",2/21/2003,2/22/2003,Iran acknowledges the existence of the Natanz and Arak facilities,"Iran formally acknowledges the existence of the Natanz and Arak facilities, among other disclosures. They agree to a more open disclosure and access policy but IAEA Director General Mohamed EIBaradei is ""troubled"" by their previous ""deception."" ",,,
4,28,3/1/2003,3/1/2003,3/1/2003,Reform candidates suffer defeats in local elections ,"Reform candidates suffer heavy defeats in local elections across Iran, as voter turnout is said to be as low as 39 percent nationwide and even lower in big cities. ",,,
4,29,"March 19-May 1, 2003",3/19/2003,5/1/2003,Operation Iraqi Freedom takes place,"Operation Iraqi Freedom takes place. Analysts later describe Iran as being less forthcoming than in Afghanistan, but acknowledge that Tehran provided considerable assistance to the reconstruction effort, even if for its own reasons. ",,,
4,30,5/4/2003,5/4/2003,5/4/2003,"Swiss Ambassador faxes a ""Roadmap"" to improved relations","Swiss Ambassador to Tehran Tim Guldimann faxes a proposal from the Iranians to the State Department offering a ""Roadmap"" to improved relations. ",,,
4,31,5/11/2003,5/11/2003,5/11/2003,U.S. has been in contact regarding Iraq and the Palestinian conflict,Powell says that Iran and the United States have been in contact regarding Iraq and the Palestinian conflict.,,,
4,32,5/12/2003,5/12/2003,5/12/2003,Khamenei rebuffs the idea of restoring ties with Washington,"In a speech in Tehran, Khamenei rebuffs the idea of restoring ties with Washington. In a reference to Rafsanjani, he adds, ""Some these days are talking about an opportunity being missed. Does succumbing to the enemy mean not missing opportunities?"" ",,,
4,33,5/24/2003,5/24/2003,5/24/2003,Kharrazi states U.S.-Iranian dialogue is at a stand still for the moment,"Kharrazi tells the Arabic daily al-Hayat, ""The U.s.-Iranian dialogue has stopped for the moment and we see no need to resume it because the United States is not serious in its intentions and does not respect its promises."" ",,,
4,34,5/31/2003,5/31/2003,5/31/2003,Bush announces the Proliferation Security Initiative,"Bush announces the Proliferation Security Initiative, an international effort to intercept nuclear-and missile-related technologies going to and from countries suspected of harboring nuclear ambitions. ",,,
4,35,6/6/2003,6/6/2003,6/6/2003,The IAEA reports on Iran's nuclear activities,The IAEA reports on Iran's nuclear activities and finds five areas in which Iran is in violation of the Safeguards Agreement.,,,
4,36,6/18/2003,6/18/2003,6/18/2003,"Bush says the U.S. will not ""tolerate"" an Iranian nuclear weapon","For the first time, Bush says the u.s. will not ""tolerate"" an Iranian nuclear weapon. A senior White House official calls the comment ""a carefully-worded escalation"" coming after extensive meetings with aides in recent weeks. ",,,
4,37,Summer 2003,6/21/2003,9/23/2003,Rowhani takes over as chief nuclear negotiator ,Secretary of the Supreme National Security Council Hassan Rowhani takes over as chief nuclear negotiator from the reform camp.,,,
4,38,Early August 2003,8/1/2003,8/10/2003,Joint letter to Iran urging it to stop uranium enrichment program,"The foreign ministers of Britain, Germany and France send a joint letter to Iran urging it to stop its uranium enrichment program and implement a new protocol to the NPT. ",,,
4,39,8/18/2003,8/18/2003,8/18/2003,Khatami states Iran will never put its nuclear program to military use,Khatami writes to European leaders pledging that Iran will never put its nuclear program to military use and saying Iran will immediately begin talks on the Additional Protocol to the NPT.,,,
4,40,9/19/2003,9/19/2003,9/19/2003,Bremer says Iran meddles in Iraq's internal affairs,"CPA Administrator Paul Bremer says Iran ""continues to meddle in various ways in Iraq's internal affairs,"" including offering ""support for various people, some of whom have taken violent action against both Iraqis and against the coalition."" ",,,
4,41,9/25/2003,9/25/2003,9/25/2003,"Kharrazi says it would be ""very useful"" to restart talks with the U.S. ","Kharrazi says it would be ""very useful"" to restart talks with the u.S. over a number of issues. ""But the problem is there is no room for that now ... Americans are always trying to suspect us, always tried to humiliate us and pressure us."" ",,,
4,42,10/21/2003,10/21/2003,10/21/2003,Iran signs an agreement granting permission for spot inspections,"Ten days before an IAEA deadline, Iran signs an agreement with the foreign ministers of Britain, Germany and France granting permission for spot inspections and consenting to suspend uranium enrichment. ",,,
4,43,Late October 2003,10/21/2003,10/31/2003,Khamenei states nuclear weapons unacceptable in Islam,Khamenei and other senior clerics make forceful public pronouncements about the unacceptability of nuclear weapons in Islam.,,,
4,44,11/10/2003,11/10/2003,11/10/2003,An IAEA report provides detail on Iran's deceptions,"An IAEA report provides detail on Iran's deceptions, but finds ""no evidence"" that previously undeclared material relates to a weapons program. ",,,
4,45,11/26/2003,11/26/2003,11/26/2003,The IAEA Board passes a resolution,"The IAEA Board passes a resolution characterized by EIBaradei as ""sending a very serious and ominous message"" to Tehran. ",,,
4,46,December 2003,12/1/2003,12/31/2003,Iranian officials acknowledge contact with Ahmad Chalabi,"Iranian officials acknowledge they have a ""permanent dialogue"" with Ahmad Chalabi. ",,,
4,47,12/18/2003,12/18/2003,12/18/2003,Iran signs the Additional Protocol of the NPT ,"Iran signs the Additional Protocol of the NPT in what analysts call a ""momentous"" decision. ""lf Washington is searching for some signals from Iran, these are signals,"" says former Deputy Foreign Minister Abbas Maleki. ",,,
4,48,12/26/2003,12/26/2003,12/26/2003,A major earthquake devastates the city of Bam,"A major earthquake devastates the historic city of Bam. The United States offers aid and suspends certain sanctions, which Khatami and Rafsanjani acknowledge as a positive sign. ",,,
4,49,12/30/2003,12/30/2003,12/30/2003, Powell acknowledges possible renewed dialogue with Iran,"In an interview, Powell acknowledges actions by Iran's government that merit consideration of a renewed dialogue. ",,,
4,50,1/11/2004,1/11/2004,1/11/2004,Solana arrives in Tehran,"Javier Solana of the EU arrives in Tehran for talks with Khatami, Kharrazi and Rowhani on nuclear issues, trade and human rights. ",,,
4,51,2/13/2004,2/13/2004,2/13/2004,Iran has more designs for high-speed centrifuges,Press reports in the past two days reveal Iran has acknowledged possessing more advanced designs for high-speed centrifuges than it previously admitted.,,,
4,52,2/14/2004,2/14/2004,2/14/2004,"Iran ""is ready to offer [nuclear] fuel to international markets."" ","Kharrazi announces Iran ""is ready to offer [nuclear] fuel to international markets."" ",,,
4,53,2/20/2004,2/20/2004,2/20/2004,Conservatives win nationwide elections in Iran,"Conservatives win decisively in nationwide elections in Iran. The results, along with a low turnout, deal a critical blow to the reform movement. ",,,
4,54,3/17/2004,3/17/2004,3/17/2004,Bush commits to a solution based on diplomacy and verification,"In the Oval Office, Bush agrees with EIBaradei that a solution based on diplomacy and verification is ""not only the best solution, it's the only solution other than the Israeli solution,"" according to EIBaradei's account. ",,,
4,55,April 2004,4/1/2004,4/30/2004,U.S. drone flights over Iran from Iraq more frequent,U.S. drone flights over Iran from Iraq become more frequent. Local reports of UFOs lead Iran to beef up defenses around nuclear facilities near Isfahan and Bushehr.,,,
4,56,4/9/2004,4/9/2004,4/9/2004,Iran is providing widespread support to Shiite groups in Iraq,"Citing U.S. intelligence and other government sources, a news article describes U.S. officials' certainty that Iran is providing widespread support to Shiite groups in Iraq. ",,,
4,57,Mid-April 2004,4/12/2004,4/20/2004,Chalabi states that the U.S. is reading communications traffic,Ahmad Chalabi tells the Baghdad station chief of Iran's Ministry of Intelligence and Security that the United States is reading its communications traffic.,,,
4,58,Summer 2004,6/20/2004,9/22/2004,U.S. forces begin carrying out covert reconnaissance missions,"U.S. forces begin carrying out covert reconnaissance missions in Iran to identify hidden WMD sites, and the president has signed authorizations for commando units to strike at targets throughout the region, according to sources cited later by Seymour Hersh. ",,,
4,59,6/18/2004,6/18/2004,6/18/2004,IAEA condemns Iran for obstruction of its inspections,"The IAEA Board condemns Iran for obstruction of its inspections and other faults. Tehran eventually agrees to provide more, and accurate, information about its program. ",,,
4,60,8/18/2004,8/18/2004,8/18/2004,Shamkhani warns Iran might take pre-emptive action to fend off attacks,Defense Minister Shamkhani warns that Iran might take pre-emptive action to fend off an American or Israeli attack on Iran's nuclear facilities.,,,
4,61,9/1/2004,9/1/2004,9/1/2004,IAEA acknowledges enriched uranium may not have been produced in Iran,"The IAEA Board acknowledges the possibility that enriched uranium particles detected at Natanz and other locations were not produced in Iran, a claim Iran has made repeatedly. The agency continues to investigate. ",,,
4,62,9/21/2004,9/21/2004,9/21/2004,Iran announces it has begun to convert uranium into gas,"Defying an IAEA call on September 18 to terminate uranium enrichment, Iran announces it has begun to convert tons of uranium into gas. ",,,
4,63,9/22/2004,9/22/2004,9/22/2004,U.S. and Israeli officials do not rule out military action,"Reflecting hardened attitudes, u.s. and Israeli officials do not rule out the possibility of military action in connection with Iran's nuclear program. Powell remarks, ""I'm not aware of any plans to attack Iran ... But every option always, of course, remains on the table."" ",,,
4,64,9/29/2004,9/29/2004,9/29/2004,"Kharrazi tells reporters the state of U.S.-Iran relations is ""very bad."" ","Kharrazi tells reporters the state of U.S.-Iran relations is ""very bad."" ""The question is if it can be changed or not."" ",,,
4,65,10/20/2004,10/20/2004,10/20/2004,The U.S. criticizes proposal to offer Iran incentives ,The U.S. criticizes a European proposal to offer certain technological assistance and fuel as incentives to get Iran to curtail its uranium enrichment activities.,,,
4,66,11/2/2004,11/2/2004,11/2/2004,Bush wins a second term as president,Bush wins a second term as president. Reports indicate the administration is unlikely to produce a new policy initiative on Iran anytime soon.,,,
4,67,11/15/2004,11/15/2004,11/15/2004,Powell submits his resignation as secretary of state,Powell submits his resignation as secretary of state. He is replaced by Condoleezza Rice.,,,
4,68,11/26/2004,11/26/2004,11/26/2004,Iran and EU agree on suspension of Iran's nuclear programs,Iran and the EU reach agreement on a suspension of Iran's nuclear programs. It is reported to be the mildest of all prior resolutions; the U.S. reacts with disappointment.,,,
4,69,January 2005,1/1/2005,1/31/2005,U.S. intelligence begins review of its assessments on Iran,The U.S. intelligence community begins a major review of its assessments on Iran.,,,
4,70,1/18/2005,1/18/2005,1/18/2005,Bush talks to NBC with respect to the Iran nuclear issue,"Bush tells NBC with respect to the Iran nuclear issue, ""I hope we can solve it diplomatically. But I will never take any option off the table."" ",,,
4,71,Early 2005,1/1/2005,1/31/2005,"Rice creates ""an outpost in Dubai"" ","Early in her new term as secretary of state, Rice discovers that the State Department has no independent Iran Desk. She eventually creates one as well as ""an outpost in Dubai"" to follow Iranian affairs. ",,,
4,72,2/3/2005,2/3/2005,2/3/2005,Rice comments on Iran's human rights record ,"On her first overseas trip as secretary of state, Rice says Iran's human rights record is ""something to be loathed,"" and repeats that the u.s. will not cooperate directly with Europe over incentives for Iran. ",,,
4,73,2/19/2005,2/19/2005,2/19/2005,"Putin declares he ""will continue to develop relations [with Iran] in all sectors.""","After meeting with Rowhani, Russian President Vladimir Putin declares he is convinced ""that Iran indeed does not intend to produce nuclear weapons and we will continue to develop relations in all sectors."" ",,,
4,74,2/23/2005,2/23/2005,2/23/2005,"Bush sounds a note of ""convergence"" with the Europeans on Iran","Bush sounds a note of ""convergence"" with the Europeans on Iran, a term used by National Security Advisor Hadley. ",,,
4,75,5/25/2005,5/25/2005,5/25/2005,Iran and the EU-3 agree to continue suspension of Iranian nuclear activities,"Iran and the EU-3 agree to continue suspension of Iranian nuclear activities, avoiding a showdown with the u.S. ",,,
4,76,6/25/2005,6/25/2005,6/25/2005,Mahmoud Ahmedinejad wins the presidency ,"Mahmoud Ahmedinejad wins the presidency in a stunning run-off election, raising major concerns in the West about Iran's future policies, especially in the nuclear field. ",,,
4,77,6/29/2005,6/29/2005,6/29/2005,Bush signs Executive Order 13382,Bush signs Executive Order 13382 authorizing the United States to freeze the assets of entities that proliferate weapons of mass destruction.,,,
4,78,July 2005,7/1/2005,7/31/2005,The U.S. shares intelligence on Iran's missile program with U.N. ,"The U.S. shares intelligence on Iran's missile program with U.N. inspectors. Acquired in November 2004, the information includes design modifications for a Shehab-3 missile enabling it to accept a nuclear warhead. ",,,
4,79,8/1/2005,8/1/2005,8/1/2005,Iran announces it will resume operations at conversion plant,Iran announces it will resume operations at its Isfahan conversion plant.,,,
4,80,8/2/2005,8/2/2005,8/2/2005,The EU-3 foreign ministers send a sharp letter to Iran,"The EU-3 foreign ministers send a sharp letter to Iran warning that if it does restart its nuclear activities, it will mean the end of a two-year negotiating process and a possible decision to refer the case to the UNSC. ",,,
4,81,12/8/2005,12/8/2005,12/8/2005,Ahmedinejad publicly questions the fact of the Holocaust,Ahmedinejad publicly questions the fact of the Holocaust.,,,
4,82,January 2006,1/1/2006,1/31/2006,EI Baradei reports negotiations at an impasse ,"EIBaradei reports that by this time ""the convoluted, stumbling negotiations between the international community and Iran ... were at an impasse."" ",,,
4,83,1/3/2006,1/3/2006,1/3/2006,Iran plans to resume research and development on enriching uranium,Iran informs the IAEA that it plans to resume research and development on enriching uranium.,,,
4,84,1/30/2006,1/30/2006,1/30/2006,The first meeting of the P5+1 to discuss Iran ,The first meeting of the P5+1 to discuss Iran takes place in London on the margins of a conference on Afghanistan. The group agrees that the first step would be a referral of the Iran case to the IAEA.,,,
4,85,2/4/2006,2/4/2006,2/4/2006,IAEA decides to refer Iran to the UNSC,"The IAEA Board decides to refer Iran to the UNSC, opening a new phase in the affair issue. In response, Iran ceases to implement its Additional Protocol. ",,,
4,86,3/16/2006,3/16/2006,3/16/2006,"U.S. ""may face no greater challenge from a single country than from Iran."" ","A ""National Security Strategy"" document declares that the United States ""may face no greater challenge from a single country than from Iran."" ",,,
4,87,4/11/2006,4/11/2006,4/11/2006,Ahmedinejad declares Iran has knowledge to produce low-enriched uranium,Ahmedinejad declares that Iran now possesses the nuclear know-how to produce enough low-enriched uranium to run a nuclear power plant.,,,
4,88,Spring 2006,3/20/2006,6/21/2006,Rice states Bush administration has taken steps on Iran issue,"By this time, Rice writes later, the Bush administration has ""taken a number of small steps to unify the international community on the Iran issue,"" including holding several meetings with P5+1 counterparts. ",,,
4,89,5/8/2006,5/8/2006,5/8/2006,Ahmedinejad writes an 18-page letter to Bush ,Ahmedinejad writes an 18-page letter to Bush rebuking him on a variety of subjects. u.s. officials downplay the document in public.,,,
4,90,5/31/2006,5/31/2006,5/31/2006,Rice announces U.S. readiness to engage in direct talks with Iran,"Rice announces U.S. readiness to engage in direct talks with Iran, in concert with the EU-3, Russia and China, if Tehran will agree to suspend enrichment. She emphasizes that all issues, not only nuclear matters, will be open for discussion. In return, Iran must agree to suspend its enrichment and reprocessing activities. ",,,
4,91,6/6/2006,6/6/2006,6/6/2006,Solana meets with Iranian counterparts,The EU's Solana meets with Iranian counterparts to propose a package of incentives in return for Iran suspending its enrichment program prior to negotiations. Iran asks for some time to respond.,,,
4,92,"July 15-17, 2006",7/15/2006,7/17/2006,EIBaradei tells Bush the Iranians are working on a response to EU offer ,"During a G8 summit, EIBaradei tells Bush the Iranians are working on a response to a recent EU offer. ""We are ready,"" the president replies. A short while later, Tony Blair echoes Bush's remark. ",,,
4,93,7/31/2006,7/31/2006,7/31/2006,The Security Council adopts Resolution 1696 ,The Security Council adopts Resolution 1696 demanding that Iran suspend its uranium enrichment activities by August 31.,,,
4,94,10/2/2006,10/2/2006,10/2/2006,Bush signs the Iran Freedom Support Act ,Bush signs the Iran Freedom Support Act imposing sanctions on governments and companies that assist with Iran's nuclear program.,,,
4,95,10/9/2006,10/9/2006,10/9/2006,North Korea conducts an underground nuclear test,North Korea conducts an underground nuclear test.,,,
4,96,11/14/2006,11/14/2006,11/14/2006,"Ahmedinejad announces Iran's intention to install 60,000 centrifuges","Ahmedinejad announces Iran's intention to install 60,000 centrifuges at Natanz. ",,,
4,97,12/23/2006,12/23/2006,12/23/2006,The UNSC passes Resolution 1737,"The UNSC passes Resolution 1737, authorizing sanctions against Iran for the first time. Iran responds by threatening to limit cooperation with the IAEA. ",,,
4,98,3/24/2007,3/24/2007,3/24/2007,The UNSC unanimously adopts Resolution 1747 ,The UNSC unanimously adopts Resolution 1747 sanctioning Iran for failing to suspend a variety of nuclear activities and to cooperate fully with the IAEA.,,,
4,99,5/15/2007,5/15/2007,5/15/2007,EIBaradei declares that Iran has knowledge needed to enrich uranium,"In an interview with The New York Times, EIBaradei declares that Iran has essentially obtained the knowledge needed to enrich uranium. ",,,
4,100,5/28/2007,5/28/2007,5/28/2007,U.S. and Iranian officials meet face-to-face ,"U.s. and Iranian officials meet face-to-face during security talks in Baghdad. Ryan Crocker says later that the Iranians described their approach as ""very similar to our own policy."" The meetings continue in the Fall. ",,,
4,101,9/2/2007,9/2/2007,,Ali Larijani resigns as Iran's lead nuclear negotiator,Ali Larijani resigns as Iran's lead nuclear negotiator.,,,
4,102,9/6/2007,9/6/2007,9/6/2007,Israeli forces destroy Syria's nearly-completed nuclear reactor,Israeli forces destroy Syria's nearly-completed nuclear reactor.,,,
4,103,11/9/2007,11/9/2007,11/9/2007,U.S. forces release nine Iranian prisoners ,"Two weeks after Washington announced new sanctions against the Revolutionary Guard Corps, U.S. forces release nine Iranian prisoners being held in Iraq, including two accused of membership in the Guards' elite Quds Force. ",,,
4,104,12/3/2007,12/3/2007,12/3/2007,DNI releases key findings from National Intelligence Estimate (NIE) ,"The DNI releases key findings from a National Intelligence Estimate (NIE) on Iran prepared the previous month. The documents states: ""We judge with high confidence that in fall 2003, Tehran halted its nuclear weapons program; we also assess with moderate-to-high confidence that Tehran at a minimum is keeping open the option to develop nuclear weapons."" ",,,
4,105,3/3/2008,3/3/2008,3/3/2008,UNSC adopts Resolution 1803 ,The UNSC adopts Resolution 1803 which contains more suggested steps than required measures against Iran.,,,
4,106,4/8/2008,4/8/2008,4/8/2008,Ahmedinejad says Iran is installing new centrifuges ,Ahmedinejad says Iran is installing new centrifuges that can enrich uranium at five times the speed of current technology.,,,
4,107,7/9/2008,7/9/2008,7/9/2008,Iran test-fires a missile capable of reaching Israel,Iran test-fires a missile capable of reaching Israel.,,,
4,108,9/16/2008,9/16/2008,9/16/2008,IAEA issues report noting Iran's lack of transparency about its nuclear program.,The IAEA issues a report noting Iran's continued failure to suspend enrichment and provide adequate transparency about its nuclear program.,,,
4,109,9/27/2008,9/27/2008,9/27/2008,The UNSC passes Resolution 1835,"The UNSC passes Resolution 1835, which essentially reaffirms earlier measures. It is later considered the weakest of all six resolutions on Iran passed between 2003-2010. ",,,
4,110,1/20/2009,1/20/2009,1/20/2009,Barack Obama is inaugurated as the 44th president of the United States,Barack Obama is inaugurated as the 44th president of the United States.,,,